distribution_id,legacy_product_id,resolved_entity_type,target_stable_id,disposition,resolution_rationale
DD000001,DP000001,family_distribution,PF000001,deferred,"Download do PRODES depende do desmembramento por bioma, coleção e release."
DD000002,DP000001,family_metadata,PF000001,deferred,"Metadados devem ser vinculados ao release específico do PRODES após resolução por bioma."
DD000003,DP000002,family_distribution,PF000002,deferred,"Download do DETER Amazônia depende da coleção e camada operacional resolvida."
DD000004,DP000003,family_distribution,PF000003,deferred,"Download do DETER Cerrado depende da coleção e camada operacional resolvida."
DD000005,DP000004,family_distribution,PF000004,deferred,"Distribuição experimental deve permanecer vinculada à família até arquivamento de release."
DD000006,DP000005,product_distribution,PR000005,migrated,"Distribuição diretamente vinculável ao release TerraClass Amazônia 2020."
DD000007,DP000006,family_distribution,PF000005,deferred,"Acesso varia por bioma, edição e metodologia; requer produtos resolvidos."
DD000008,DP000007,source_access_capability,DR0011,mapped,"WMS é capacidade de visualização da infraestrutura TerraBrasilis."
DD000009,DP000007,source_access_capability,DR0011,mapped,"WFS é capacidade de consulta de feições da infraestrutura TerraBrasilis."
DD000010,DP000007,source_access_capability,DR0011,mapped,"WCS é capacidade de acesso a coberturas da infraestrutura TerraBrasilis."
DD000011,DP000007,source_access_capability,DR0011,mapped,"CSW é capacidade de descoberta de metadados da infraestrutura TerraBrasilis."
DD000012,DP000008,source_catalog_record,DR0019,mapped,"Página do catálogo público pertence à fonte agregadora Earth Engine."
DD000013,DP000009,source_catalog_record,DR0019,mapped,"Índice de publicadores é componente de descoberta da fonte federada."
DD000014,DP000010,source_access_capability,DR0019,mapped,"APIs e bibliotecas são capacidades computacionais da infraestrutura Earth Engine."
DD000015,DP000010,source_access_capability,DR0019,mapped,"Exportação é capacidade operacional da infraestrutura Earth Engine."
DD000016,DP000011,product_distribution,PR000011,migrated,"ImageCollection vinculada ao release Dynamic World V1."
DD000017,DP000011,product_distribution,PR000011,migrated,"Registro WRI vinculado ao release Dynamic World V1."
DD000018,DP000011,product_distribution,PR000011,migrated,"Explorador visual vinculado ao release Dynamic World V1."
DD000019,DP000011,product_distribution,PR000011,migrated,"Código e modelo vinculados ao release Dynamic World V1 como distribuição complementar."
