candidate_id,official_name,acronym,homepage_url,candidacy_reason,presumed_research_areas,presumed_geographic_coverage,presumed_resource_type,possible_duplication,initial_evidence,evidence_status,priority,decision,review_status,added_date,notes
CAND0001,Our World in Data,OWID,https://ourworldindata.org/,"Plataforma de descoberta, visualização e download de indicadores globais relevantes para clima, biodiversidade, uso da terra, alimentos, energia, ambiente e relações sociedade-natureza",Climate change | Environmental sciences | Land use | Food systems | Energy | Socioecological systems,global,data_aggregator | visualization_platform,"Republica séries de FAOSTAT, World Bank, agências da ONU, Global Carbon Project e outros provedores; o provedor primário deve permanecer identificado por produto","Documentação oficial da plataforma e da Grapher API revisada em 2026-07-22; downloads CSV, metadados JSON e pacotes ZIP dependem dos direitos de redistribuição de cada série",official_documentation_reviewed,baixa,incluir,decisão_registrada,2026-07-20,"Aprovar como agregador e plataforma de visualização, não como produtor primário. A futura linha canônica deve exigir atribuição ao provedor original e licença por produto. Prioridade reduzida diante do escopo Brasil."
CAND0002,WHO Global Health Observatory,GHO,https://www.who.int/data/gho,"Portal oficial com indicadores globais de saúde, mortalidade, doenças, água e saneamento, saúde ambiental e clima-saúde",Epidemiology | Public health | Climate and health | Environmental health | Tropical diseases,global,health_data_portal | indicator_platform | data_api,"Pode agregar estimativas da OMS, séries nacionais e dados também apresentados por PAHO, World Bank e OWID; distinguir indicador, estimativa e fonte nacional","Documentação oficial do GHO e da API OData revisada em 2026-07-22; mais de mil indicadores para 194 Estados-Membros, com metadados por indicador",official_documentation_reviewed,média,incluir,decisão_registrada,2026-07-20,"Aprovar no domínio saúde ambiental e socioecologia. Registrar por produto se o valor é estimativa comparável da OMS ou estatística nacional. Executar depois das fontes brasileiras de saúde."
CAND0003,Global Health Data Exchange,GHDx,https://ghdx.healthdata.org/,"Catálogo e infraestrutura de descoberta de inquéritos, microdados, fontes epidemiológicas e resultados do Global Burden of Disease",Epidemiology | Public health | Demography | Global burden of disease | Environmental health,global,data_catalog | health_data_repository,"Indexa fontes nacionais e internacionais e resultados IHME que podem aparecer em outros portais; o catálogo não deve ser confundido com o provedor ou com acesso aberto uniforme","Registros e páginas oficiais de recursos GBD e inquéritos foram revisados em 2026-07-22; acesso e termos variam por registro",official_documentation_reviewed,média,incluir,decisão_registrada,2026-07-20,"Aprovar como catálogo de descoberta. Em produtos, separar metadados GHDx, arquivos hospedados pelo IHME e redirecionamentos para provedores externos."
CAND0004,Portal de Dados Abertos do SUS,Dados Abertos SUS,https://dadosabertos.saude.gov.br/,"Portal oficial brasileiro de dados abertos de saúde, vigilância e determinantes ambientais com conjuntos, recursos, dicionários e APIs",Epidemiology | Public health | Health surveillance | Climate and health | Environmental health,nacional — Brasil,government_data_portal | health_data_repository | CKAN catalog,"Pode sobrepor recursos do DATASUS TabNet, dados.gov.br e sistemas específicos; o conjunto e a organização responsável devem ser preservados","Novo domínio oficial, catálogo de conjuntos, formatos e API de Dados Abertos revisados em 2026-07-22; a URL histórica opendatasus.saude.gov.br foi substituída",official_documentation_reviewed,alta,incluir,decisão_registrada,2026-07-20,"Fonte brasileira prioritária. Registrar produto, recurso, frequência, granularidade, dicionário e limitações de integração por dataset."
CAND0005,DATASUS TabNet,TabNet,https://datasus.saude.gov.br/informacoes-de-saude-tabnet/,"Sistema oficial de consulta e tabulação de mortalidade, morbidade, assistência, vigilância, demografia, saneamento e indicadores de saúde no Brasil",Epidemiology | Public health | Mortality | Tropical diseases | Environmental health,nacional — Brasil,health_information_system | tabulation_platform,"Sobrepõe parcialmente o Portal de Dados Abertos do SUS e arquivos de sistemas específicos; TabNet é uma interface de tabulação, não uma licença uniforme para todas as bases","Documentação oficial do DATASUS, página Informações de Saúde e catálogo de sistemas revisados em 2026-07-22",official_documentation_reviewed,alta,incluir,decisão_registrada,2026-07-20,"Fonte brasileira prioritária. A futura base de produtos deve registrar SIM, SIH, SINAN e demais famílias separadamente, com período, CID, unidade territorial e forma de extração."
CAND0006,Sistema IBGE de Recuperação Automática,SIDRA,https://sidra.ibge.gov.br/,"Fonte oficial de tabelas de censos e pesquisas demográficas, socioeconômicas, agropecuárias, territoriais e ambientais do Brasil",Demography | Population | Socioeconomic indicators | Agriculture | Territorial statistics | Socioecological systems,nacional — Brasil,official_statistics_platform | tabulation_api,"Publica resultados de censos e pesquisas também oferecidos em páginas específicas do IBGE; manter pesquisa, tabela, variável e nível territorial","Documentação oficial da API de dados agregados v3 revisada em 2026-07-22; a API alimenta o SIDRA e expõe agregados, metadados, períodos, localidades e variáveis",official_documentation_reviewed,alta,incluir,decisão_registrada,2026-07-20,"Fonte brasileira prioritária. Produtos devem ser definidos no nível de pesquisa, tabela ou série, sem tratar todas as tabelas como um único produto homogêneo."
CAND0007,United Nations World Population Prospects,WPP,https://population.un.org/wpp/,"Base oficial da ONU de estimativas e projeções demográficas comparáveis entre países, relevante para contextos socioecológicos e exposição humana",Demography | Population projections | Mortality | Fertility | Socioecological systems,global,demographic_database | projection_platform | data_api,"Indicadores derivados aparecem no World Bank e OWID; preservar revisão, variante, cenário e natureza estimada ou projetada","Documentação oficial da revisão WPP 2024 revisada em 2026-07-22; dados 1950–2100, Excel e CSV em massa, portal interativo e API aberta",official_documentation_reviewed,média,incluir,decisão_registrada,2026-07-20,"Aprovar como complemento internacional. Cada produto deve registrar edição, cenário, variante e distinção entre estimativa histórica e projeção."
CAND0008,World Bank Open Data,World Bank Data,https://data.worldbank.org/,"Portal global de indicadores sociais, econômicos, ambientais, climáticos e de saúde com API programática e metadados",Demography | Development indicators | Environment | Climate and society | Public health,global,indicator_platform | data_api | data_catalog,"Muitos indicadores derivam de ONU, OMS, FAO e órgãos nacionais; o provedor e a fonte do indicador devem ser preservados","Documentação oficial da Indicators API v2 e da Metadata API revisada em 2026-07-22; acesso programático a milhares de séries",official_documentation_reviewed,baixa,incluir,decisão_registrada,2026-07-20,"Aprovar como agregador de indicadores, não como fonte primária uniforme. Prioridade inferior às fontes estatísticas brasileiras originais."
CAND0009,Integrated Public Use Microdata Series,IPUMS,https://www.ipums.org/,"Infraestrutura acadêmica de microdados harmonizados de censos, pesquisas populacionais, saúde e ambiente humano",Demography | Population microdata | Public health | Migration | Socioecological systems,global,microdata_repository | harmonization_platform,"Harmoniza dados de institutos nacionais e programas como DHS; exige atribuição simultânea ao IPUMS e ao produtor oficial","Termos oficiais de uso e documentação do IPUMS International revisados em 2026-07-22; acesso exige registro e restringe redistribuição",official_documentation_reviewed,média,incluir,decisão_registrada,2026-07-20,"Aprovar com acesso parcial e autenticação obrigatória. Preservar o IBGE ou outro produtor nacional como fonte original."
CAND0010,Demographic and Health Surveys Program,DHS Program,https://dhsprogram.com/,"Programa internacional de inquéritos domiciliares com microdados demográficos, saúde, nutrição, biomarcadores e georreferenciamento",Demography | Epidemiology | Maternal and child health | Nutrition | Climate and health,global com cobertura por países participantes,survey_program | microdata_repository,"Pode ser acessado também por IPUMS DHS; distinguir arquivos originais DHS de versões harmonizadas","Instruções oficiais de acesso, tipos de dataset e termos de uso revisados em 2026-07-22; registro, projeto de pesquisa e aprovação por país são exigidos",official_documentation_reviewed,baixa,incluir,decisão_registrada,2026-07-20,"Manter como referência condicionada à confirmação de cobertura brasileira relevante; não priorizar sobre inquéritos nacionais."
