legacy_product_id,resolved_entity_type,canonical_name,target_model_action,resolution_rationale
DP000001,product_family,PRODES — monitoramento anual da supressão de vegetação nativa,Desmembrar por bioma e release antes da promoção,"O registro agrega séries e regras que variam por bioma, edição, resolução e área mínima mapeável; não é um único release operacional."
DP000002,product_family,DETER Amazônia — avisos de alteração da cobertura vegetal,Representar a série e criar releases/camadas resolvidas,"É uma série operacional de alertas com coleções, classes, sensores e períodos próprios; requer release e distribuição específicos."
DP000003,product_family,DETER Cerrado — avisos de alteração da cobertura vegetal,Representar a série e criar releases/camadas resolvidas,"É uma série operacional adaptada ao Cerrado e não deve herdar automaticamente a semântica e o método do DETER Amazônia."
DP000004,product_family,DETER Pantanal — avisos experimentais,Representar a série experimental com releases arquivados,"O estado experimental e a possibilidade de revisão parcial ou integral impedem tratá-lo como release estável único."
DP000005,product,TerraClass Amazônia 2020,Criar produto e release 2020 com perfil científico,"O território e o ano de referência estão definidos; ainda exige legenda, máscara, método, suporte e distribuições explicitamente vinculados."
DP000006,product_family,Vegetação secundária — produtos por bioma,Desmembrar por bioma edição e metodologia,"Cobertura, período, definição de classe e metodologia variam entre biomas e edições; o registro atual é uma família."
DP000007,access_capability,Serviços interoperáveis TerraBrasilis,Migrar para capacidades de acesso da fonte/distribuições,"WMS, WFS, WCS e CSW são mecanismos de acesso e descoberta; não representam um fenômeno ou produto científico."
DP000008,source,Earth Engine Public Data Catalog,Manter como fonte agregadora e índice externo,"É um catálogo mutável de produtos de múltiplos provedores, sem variável, metodologia, licença ou resolução científica única."
DP000009,source,Earth Engine Publisher Data Catalogs,Manter como fonte federada e índice externo,"Representa catálogos mantidos por publicadores distintos; autoria, curadoria e propriedades permanecem no publicador e no produto."
DP000010,access_capability,Earth Engine Processing and Export Service,Migrar para infraestrutura e capacidades de processamento,"É um serviço computacional de consulta, processamento e exportação; não contém informação científica própria."
DP000011,product,Dynamic World V1,Criar produto e release V1 com variáveis e distribuições,"Possui identidade, método, versão, cobertura, resolução, bandas de probabilidade, classe principal e formas de acesso identificáveis."
